example_id,example_class,example_note,plate_id,well,cell_line,compound,compound_id,project,conc_M,tz_rlu,c_rlu,ti_rlu,pct_growth,gi50_M,tgi_M,lc50_M
01,valid,GI50 only (cytostatic),NBIO-HTS-01,A01,A549,vehicle,VEH,mAb-2301 PK Study,,8000,40000,40000,100.0,,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,A02,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,8000,40000,16960,28.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,A03,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,8000,40000,19200,35.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,A04,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,8000,40000,23360,48.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,A05,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,8000,40000,31040,72.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,A06,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,8000,40000,37440,92.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,B01,MCF7,vehicle,VEH,mAb-2301 PK Study,,8200,40800,40800,100.0,,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,B02,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,8200,40800,17328,28.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,B03,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,8200,40800,19610,35.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,B04,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,8200,40800,23848,48.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,B05,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,8200,40800,31672,72.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,B06,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,8200,40800,38192,92.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,C01,HCT116,vehicle,VEH,mAb-2301 PK Study,,8400,41600,41600,100.0,,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,C02,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,8400,41600,17696,28.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,C03,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,8400,41600,20020,35.0,2.50e-06,,
01,valid,GI50 only (cytostatic),NBIO-HTS-01,C04,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,8400,41600,24336,48.0,2.50e-06,,
