example_id,example_class,example_note,plate_id,well,cell_line,compound,compound_id,project,conc_M,tz_rlu,c_rlu,ti_rlu,pct_growth,gi50_M,tgi_M,lc50_M
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,A01,A549,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,A02,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,A03,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,A04,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,A05,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,A06,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,B01,MCF7,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,B02,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,B03,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,B04,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,B05,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,B06,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,C01,HCT116,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,C02,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,C03,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,C04,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,C05,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,C06,HCT116,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,D01,PC-3,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,D02,PC-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,D03,PC-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,D04,PC-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,D05,PC-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,D06,PC-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,E01,SK-OV-3,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,E02,SK-OV-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,E03,SK-OV-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,E04,SK-OV-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,E05,SK-OV-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,E06,SK-OV-3,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,F01,U251,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,F02,U251,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,F03,U251,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,F04,U251,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,F05,U251,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,F06,U251,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,G01,MALME-3M,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,G02,MALME-3M,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,G03,MALME-3M,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,G04,MALME-3M,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,G05,MALME-3M,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,G06,MALME-3M,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,H01,NCI-H460,vehicle,VEH,mAb-2301 PK Study,,12000,11500,11500,,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,H02,NCI-H460,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,12000,11500,11800,-1.7,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,H03,NCI-H460,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,12000,11500,11700,-2.5,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,H04,NCI-H460,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-06,12000,11500,11600,-3.3,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,H05,NCI-H460,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,12000,11500,11550,-3.8,,,
09,edge,assay invalid: vehicle C ≤ Tz; do not report GI50,NBIO-HTS-09,H06,NCI-H460,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,12000,11500,11500,-4.2,,,
