example_id,example_class,example_note,plate_id,well,cell_line,compound,compound_id,project,conc_M,tz_rlu,c_rlu,ti_rlu,pct_growth,gi50_M,tgi_M,lc50_M
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,A01,A549,vehicle,VEH,mAb-2301 PK Study,,8000,40000,40000,100.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,A02,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,8000,40000,16000,25.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,A03,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,8000,40000,20800,40.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,A05,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,8000,40000,31680,74.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,A06,A549,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,8000,40000,37120,91.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,B01,MCF7,vehicle,VEH,mAb-2301 PK Study,,8200,40800,40800,100.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,B02,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-04,8200,40800,16350,25.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,B03,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-05,8200,40800,21240,40.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,B05,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-07,8200,40800,32324,74.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,B06,MCF7,NBIO-CMPD-001,NBIO-CMPD-001,mAb-2301 PK Study,1.00e-08,8200,40800,37866,91.0,,,
10,edge,incomplete curve (1e-6 missing); endpoints blank,NBIO-HTS-10,C01,HCT116,vehicle,VEH,mAb-2301 PK Study,,8400,41600,41600,100.0,,,
